,Accuracy,Condition,Simulation,Trials viewed
0,0.849609375,Practiced,0,0
1,0.5792100694444444,2-rule overlap,0,0
2,0.5455729166666666,1-rule overlap,0,0
3,0.8544921875,Practiced,1,0
4,0.6300998263888888,2-rule overlap,1,0
5,0.5201822916666666,1-rule overlap,1,0
6,0.8671875,Practiced,2,0
7,0.6002604166666666,2-rule overlap,2,0
8,0.56787109375,1-rule overlap,2,0
9,0.826171875,Practiced,3,0
10,0.5570746527777778,2-rule overlap,3,0
11,0.5236002604166666,1-rule overlap,3,0
12,0.8603515625,Practiced,4,0
13,0.6468098958333334,2-rule overlap,4,0
14,0.5485026041666666,1-rule overlap,4,0
15,0.818359375,Practiced,5,0
16,0.5613064236111112,2-rule overlap,5,0
17,0.5021158854166666,1-rule overlap,5,0
18,0.8525390625,Practiced,6,0
19,0.5938585069444444,2-rule overlap,6,0
20,0.5393880208333334,1-rule overlap,6,0
21,0.869140625,Practiced,7,0
22,0.6538628472222222,2-rule overlap,7,0
23,0.5799153645833334,1-rule overlap,7,0
24,0.8408203125,Practiced,8,0
25,0.5735677083333334,2-rule overlap,8,0
26,0.5315755208333334,1-rule overlap,8,0
27,0.8662109375,Practiced,9,0
28,0.6134982638888888,2-rule overlap,9,0
29,0.6036783854166666,1-rule overlap,9,0
30,0.857421875,Practiced,10,0
31,0.6839192708333334,2-rule overlap,10,0
32,0.6492513020833334,1-rule overlap,10,0
33,0.873046875,Practiced,11,0
34,0.6239149305555556,2-rule overlap,11,0
35,0.5636393229166666,1-rule overlap,11,0
36,0.822265625,Practiced,12,0
37,0.6459418402777778,2-rule overlap,12,0
38,0.6529947916666666,1-rule overlap,12,0
39,0.814453125,Practiced,13,0
40,0.5687934027777778,2-rule overlap,13,0
41,0.4930013020833333,1-rule overlap,13,0
42,0.875,Practiced,14,0
43,0.6016710069444444,2-rule overlap,14,0
44,0.5393880208333334,1-rule overlap,14,0
45,0.861328125,Practiced,15,0
46,0.7021484375,2-rule overlap,15,0
47,0.6604817708333334,1-rule overlap,15,0
48,0.86328125,Practiced,16,0
49,0.6028645833333334,2-rule overlap,16,0
50,0.5657552083333334,1-rule overlap,16,0
51,0.8720703125,Practiced,17,0
52,0.6751302083333334,2-rule overlap,17,0
53,0.6188151041666666,1-rule overlap,17,0
54,0.80078125,Practiced,18,0
55,0.5517578125,2-rule overlap,18,0
56,0.4376627604166667,1-rule overlap,18,0
57,0.8388671875,Practiced,19,0
58,0.6080729166666666,2-rule overlap,19,0
59,0.5252278645833334,1-rule overlap,19,0
